HYBAS_ID,Water,Year,Extent
2070053110,Seasonal,2009,1.7415
2070053110,Seasonal,2010,1.5192
2070053110,Seasonal,2011,2.5011
2070053110,Seasonal,2012,1.4238
2070053110,Seasonal,2013,2.8926
2070053110,Seasonal,2014,4.032
2070053110,Seasonal,2015,2.9583
2070053110,Seasonal,2016,4.2984
2070053110,Seasonal,2017,4.077
2070053110,Seasonal,2018,4.2615
2070053200,Seasonal,1984,0.0081
2070053200,Seasonal,1985,0.1854
2070053200,Seasonal,1986,0.2088
2070053200,Seasonal,1987,0.1494
2070053200,Seasonal,1988,0.2529
2070053200,Seasonal,1989,0.2394
2070053200,Seasonal,1990,0.1719
2070053200,Seasonal,1991,0.0
2070053200,Seasonal,1992,0.0
2070053200,Seasonal,1993,0.0
2070053200,Seasonal,1994,0.1305
2070053200,Seasonal,1995,0.0
2070053200,Seasonal,1996,0.0
2070053200,Seasonal,1997,0.0
2070053200,Seasonal,1998,0.0171
2070053200,Seasonal,1999,0.0873
2070053200,Seasonal,2000,0.1809
2070053200,Seasonal,2001,0.1188
2070053200,Seasonal,2002,0.1494
2070053200,Seasonal,2003,0.1503
2070053200,Seasonal,2004,0.1458
2070053200,Seasonal,2005,0.0558
2070053200,Seasonal,2006,0.099
2070053200,Seasonal,2007,0.0783
2070053200,Seasonal,2008,0.0045
2070053200,Seasonal,2009,0.0999
2070053200,Seasonal,2010,0.1017
2070053200,Seasonal,2011,0.2259
2070053200,Seasonal,2012,0.1161
2070053200,Seasonal,2013,0.2619
2070053200,Seasonal,2014,0.2502
2070053200,Seasonal,2015,0.279
2070053200,Seasonal,2016,0.3168
2070053200,Seasonal,2017,0.3168
2070053200,Seasonal,2018,0.2529
2070053210,Seasonal,1984,0.0963
2070053210,Seasonal,1985,0.1647
2070053210,Seasonal,1986,0.2907
2070053210,Seasonal,1987,0.522
2070053210,Seasonal,1988,0.5238
2070053210,Seasonal,1989,0.6057
2070053210,Seasonal,1990,0.477
2070053210,Seasonal,1991,0.0
2070053210,Seasonal,1992,0.0
2070053210,Seasonal,1993,0.0
2070053210,Seasonal,1994,0.1269
2070053210,Seasonal,1995,0.0
2070053210,Seasonal,1996,0.0
2070053210,Seasonal,1997,0.0153
2070053210,Seasonal,1998,0.0864
2070053210,Seasonal,1999,0.0486
2070053210,Seasonal,2000,0.3447
2070053210,Seasonal,2001,0.2763
2070053210,Seasonal,2002,0.2079
2070053210,Seasonal,2003,0.3627
2070053210,Seasonal,2004,0.27
2070053210,Seasonal,2005,0.1125
2070053210,Seasonal,2006,0.2646
2070053210,Seasonal,2007,0.126
2070053210,Seasonal,2008,0.0
2070053210,Seasonal,2009,0.1629
2070053210,Seasonal,2010,0.1629
2070053210,Seasonal,2011,0.3699
2070053210,Seasonal,2012,0.09
2070053210,Seasonal,2013,0.4806
2070053210,Seasonal,2014,0.5679
2070053210,Seasonal,2015,0.5238
2070053210,Seasonal,2016,0.7029
2070053210,Seasonal,2017,0.4959
2070053210,Seasonal,2018,0.5058
2070053240,Seasonal,1984,0.1332
2070053240,Seasonal,1985,0.8613
2070053240,Seasonal,1986,0.315
2070053240,Seasonal,1987,0.8181
2070053240,Seasonal,1988,0.8289
2070053240,Seasonal,1989,0.9882
2070053240,Seasonal,1990,0.711
2070053240,Seasonal,1991,0.0
2070053240,Seasonal,1992,0.0
2070053240,Seasonal,1993,0.0
2070053240,Seasonal,1994,0.0729
2070053240,Seasonal,1995,0.0
2070053240,Seasonal,1996,0.0
2070053240,Seasonal,1997,0.0
2070053240,Seasonal,1998,0.0657
2070053240,Seasonal,1999,0.0306
2070053240,Seasonal,2000,0.432
2070053240,Seasonal,2001,0.2673
2070053240,Seasonal,2002,0.2952
2070053240,Seasonal,2003,0.702
2070053240,Seasonal,2004,0.4167
2070053240,Seasonal,2005,0.3393
2070053240,Seasonal,2006,0.3564
2070053240,Seasonal,2007,0.2133
2070053240,Seasonal,2008,0.1908
2070053240,Seasonal,2009,0.4014
2070053240,Seasonal,2010,0.2286
2070053240,Seasonal,2011,0.5607
2070053240,Seasonal,2012,0.2178
2070053240,Seasonal,2013,0.603
2070053240,Seasonal,2014,0.8532
2070053240,Seasonal,2015,0.7506
2070053240,Seasonal,2016,0.8577
2070053240,Seasonal,2017,0.8442
2070053240,Seasonal,2018,0.6552
2070053250,Seasonal,1984,0.0099
2070053250,Seasonal,1985,0.0306
2070053250,Seasonal,1986,0.0072
